#Long Term Test - 2017_11_13 15:24:15
#Scan parameters: DCVoltage=150V; Polarity=-; VoltageRange=auto; tbm=60; writeeachtrigger=1; maxtime=3.0
#Scan list: [107, 108, 109]
#Time after start(s)	Voltage(V)	30211132911720 - I(A)	30211132911715 - I(A)	30211132911708 - I(A)	
35.592095	150.0	1.785941e-05	6.336063e-07	2.908183e-07
96.447025	150.0	1.759252e-05	6.147727e-07	2.891078e-07
157.300728	150.0	1.725381e-05	7.122814e-07	2.886780e-07
218.155315	150.0	1.681350e-05	7.589848e-07	2.883504e-07
279.015211	150.0	1.664906e-05	9.063846e-07	2.880252e-07
339.868814	150.0	1.672082e-05	1.081939e-06	2.880422e-07
400.726945	150.0	1.672144e-05	1.251536e-06	2.877735e-07
461.576586	150.0	1.656498e-05	1.341942e-06	2.878664e-07
522.431831	150.0	1.679023e-05	1.548530e-06	2.877586e-07
583.285208	150.0	1.550922e-05	1.673858e-06	2.876052e-07
644.136376	150.0	1.402132e-05	1.904891e-06	2.874551e-07
704.992901	150.0	1.223462e-05	2.106558e-06	2.872788e-07
765.847569	150.0	1.229234e-05	2.260621e-06	2.873461e-07
826.700885	150.0	1.244681e-05	2.330821e-06	2.872902e-07
887.556998	150.0	1.347470e-05	1.881277e-06	2.872375e-07
948.412945	150.0	1.323887e-05	1.516650e-06	2.870365e-07
1009.267525	150.0	1.407205e-05	1.450798e-06	2.869533e-07
1070.118896	150.0	1.409046e-05	1.372835e-06	2.872008e-07
1130.976016	150.0	1.511734e-05	1.442199e-06	2.869573e-07
1191.831551	150.0	1.495835e-05	1.413768e-06	2.869005e-07
1252.677948	150.0	1.504743e-05	1.487598e-06	2.870965e-07
1313.533900	150.0	1.499230e-05	1.454064e-06	2.869888e-07
1374.390021	150.0	1.546613e-05	1.498289e-06	2.870148e-07
1435.236631	150.0	1.572085e-05	1.627779e-06	2.869395e-07
1496.085894	150.0	1.657442e-05	1.635897e-06	2.870458e-07
1556.942919	150.0	1.685946e-05	1.581463e-06	2.869901e-07
1617.798897	150.0	1.765934e-05	1.441860e-06	2.869512e-07
1678.654317	150.0	1.765634e-05	1.497946e-06	2.869692e-07
1739.508340	150.0	1.788382e-05	1.567488e-06	2.869126e-07
1800.363677	150.0	1.817075e-05	1.551422e-06	2.868851e-07
1861.222836	150.0	1.832346e-05	1.682530e-06	2.869397e-07
1922.071527	150.0	1.857453e-05	1.677523e-06	2.869505e-07
1982.931894	150.0	1.835096e-05	1.637026e-06	2.870839e-07
2043.779064	150.0	1.850346e-05	1.809310e-06	2.868299e-07
2104.634944	150.0	1.880561e-05	1.726194e-06	2.870197e-07
2165.491331	150.0	1.877924e-05	2.034823e-06	2.870733e-07
2226.347091	150.0	1.878110e-05	2.087903e-06	2.865806e-07
2287.200940	150.0	1.888236e-05	2.134329e-06	2.865992e-07
2348.056188	150.0	1.889058e-05	2.214926e-06	2.866557e-07
2408.902452	150.0	1.887273e-05	2.115396e-06	2.868204e-07
2469.760021	150.0	1.902575e-05	2.197170e-06	2.870208e-07
2530.613555	150.0	1.916100e-05	2.210130e-06	2.871781e-07
2591.469969	150.0	1.925500e-05	2.273982e-06	2.869551e-07
2652.325557	150.0	1.937317e-05	2.277555e-06	2.867618e-07
2713.185910	150.0	1.931766e-05	2.243056e-06	2.867029e-07
2774.043994	150.0	1.926739e-05	2.298445e-06	2.866835e-07
2834.893909	150.0	1.924545e-05	2.376353e-06	2.866603e-07
2895.754668	150.0	1.930165e-05	2.351433e-06	2.867253e-07
2956.606297	150.0	1.941915e-05	2.299461e-06	2.867541e-07
3017.463128	150.0	1.966978e-05	2.280713e-06	2.867605e-07
3078.317907	150.0	1.958649e-05	2.242112e-06	2.867324e-07
